Trial,Thresholded_MACs,Forced_Exit_1_MACs,Forced_Exit_2_MACs,Forced_Exit_3_MACs,Forced_Exit_4_MACs
Set1_Block_0,986112,986112,,,
Set1_Block_1,986112,986112,,,
Set1_Block_2,986112,986112,,,
Set1_Block_3,715776,715776,,,
Set1_Block_4,715776,715776,,,
Set1_Block_5,715776,715776,,,
Set1_Block_6,715776,715776,,,
Set1_Block_7,777216,777216,,,
Set1_Block_8,777216,777216,,,
Set1_Block_9,777216,777216,,,
Set1_Block_10,777216,777216,,,
Set1_Block_11,777216,777216,,,
Set1_Block_12,777216,777216,,,
Set1_Block_13,1201152,1201152,,,
Set1_Block_14,1201152,1201152,,,
Set1_Block_15,1506304,1201152,305152,,
Set2_Block_0_4,1701888,986112,715776,,
Set2_Extra_Block_2_4,1701888,986112,715776,,
Set2_Extra_Block_3_4,1431552,715776,715776,,
Set2_Block_0_5,1701888,986112,715776,,
Set2_Extra_Block_2_5,1701888,986112,715776,,
Set2_Extra_Block_3_5,1431552,715776,715776,,
Set2_Block_0_6,1701888,986112,715776,,
Set2_Extra_Block_2_6,1701888,986112,715776,,
Set2_Extra_Block_3_6,1431552,715776,715776,,
Set2_Block_0_7,1763328,986112,777216,,
Set2_Extra_Block_2_7,1763328,986112,777216,,
Set2_Extra_Block_3_7,1492992,715776,777216,,
Set2_Block_0_8,1763328,986112,777216,,
Set2_Extra_Block_2_8,1763328,986112,777216,,
Set2_Extra_Block_3_8,1492992,715776,777216,,
Set2_Block_0_9,1763328,986112,777216,,
Set2_Extra_Block_2_9,1763328,986112,777216,,
Set2_Extra_Block_3_9,1492992,715776,777216,,
Set2_Block_0_10,1763328,986112,777216,,
Set2_Extra_Block_2_10,1763328,986112,777216,,
Set2_Extra_Block_3_10,1492992,715776,777216,,
Set2_Block_0_11,1763328,986112,777216,,
Set2_Extra_Block_2_11,1763328,986112,777216,,
Set2_Extra_Block_3_11,1492992,715776,777216,,
Set2_Block_0_12,1763328,986112,777216,,
Set2_Extra_Block_2_12,1763328,986112,777216,,
Set2_Extra_Block_3_12,1492992,715776,777216,,
Set2_Block_0_13,2187264,986112,1201152,,
Set2_Extra_Block_2_13,2187264,986112,1201152,,
Set2_Extra_Block_3_13,1916928,715776,1201152,,
Set2_Block_0_14,2187264,986112,1201152,,
Set2_Extra_Block_2_14,2187264,986112,1201152,,
Set2_Extra_Block_3_14,1916928,715776,1201152,,
Set2_Block_1_4,1701888,986112,715776,,
Set2_Block_1_5,1701888,986112,715776,,
Set2_Block_1_6,1701888,986112,715776,,
Set2_Block_1_7,1763328,986112,777216,,
Set2_Block_1_8,1763328,986112,777216,,
Set2_Block_1_9,1763328,986112,777216,,
Set2_Block_1_10,1763328,986112,777216,,
Set2_Block_1_11,1763328,986112,777216,,
Set2_Block_1_12,1763328,986112,777216,,
Set2_Block_1_13,2187264,986112,1201152,,
Set2_Block_1_14,2187264,986112,1201152,,
Set3_3_7_11,2270208,715776,777216,777216,
Set4_2_5_9_13,3680256,986112,715776,777216,1201152
