Trial,Exit Index,Samples Exited,Samples Exited (%),Accuracy (exited) (%),Total Model Params,Overall Accuracy,Exit Params,Submodel Params
set1_single_exit_block_0,1,109,1.09,81.65,388808.0,80.69,,
set1_single_exit_block_0,2,9891,98.91,80.68,,,,
set1_single_exit_block_10,1,5374,53.74,92.15,782024.0,80.49,577124.0,577124.0
set1_single_exit_block_10,2,4626,46.26,66.95,,,204900.0,204900.0
set1_single_exit_block_11,1,5958,59.58,92.06,782024.0,80.59,577124.0,577124.0
set1_single_exit_block_11,2,4042,40.42,63.68,,,204900.0,204900.0
set1_single_exit_block_12,1,6755,67.55,90.54,782024.0,80.14,577124.0,577124.0
set1_single_exit_block_12,2,3245,32.45,58.49,,,204900.0,204900.0
set1_single_exit_block_13,1,8055,80.55,89.09,1306312.0,81.25,1101412.0,1101412.0
set1_single_exit_block_13,2,1945,19.45,48.79,,,204900.0,204900.0
set1_single_exit_block_14,1,8685,86.85,87.97,1306312.0,81.56,1101412.0,1101412.0
set1_single_exit_block_14,2,1315,13.15,39.24,,,204900.0,204900.0
set1_single_exit_block_15,1,8794,87.94,87.18,1306312.0,81.08,1101412.0,1101412.0
set1_single_exit_block_15,2,1206,12.06,36.57,,,204900.0,204900.0
set1_single_exit_block_1,1,147,1.47,87.07,388808.0,80.94,,
set1_single_exit_block_1,2,9853,98.53,80.85,,,,
set1_single_exit_block_2,1,361,3.61,86.15,388808.0,80.4,,
set1_single_exit_block_2,2,9639,96.39,80.18,,,,
set1_single_exit_block_3,1,458,4.58,93.01,519880.0,80.98,,
set1_single_exit_block_3,2,9542,95.42,80.4,,,,
set1_single_exit_block_4,1,878,8.78,93.51,519880.0,80.61,,
set1_single_exit_block_4,2,9122,91.22,79.37,,,,
set1_single_exit_block_5,1,1383,13.83,92.91,519880.0,80.58,,
set1_single_exit_block_5,2,8617,86.17,78.6,,,,
set1_single_exit_block_6,1,1829,18.29,93.44,519880.0,80.23,,
set1_single_exit_block_6,2,8171,81.71,77.27,,,,
set1_single_exit_block_7,1,2733,27.33,93.19,,,577124.0,577124.0
set1_single_exit_block_7,2,0,0.0,0.0,,,,
